Rank,Name,Team,Goals
1,Torbjörn Nilsson,IFK Göteborg,7.0
2,Lajos Détári,Budapest Honvéd,5.0
2,Ismo Lius,Kuusysi,5.0
2,Victor Pițurcă,Steaua București,5.0
2,Aldo Serena,Juventus,5.0
6,Preben Elkjær,Hellas Verona,4.0
6,Andreas Andreou,Omonia,4.0
6,Toni Polster,Austria Wien,4.0
9,Pichi Alonso,Barcelona,3.0
9,Per Frimann,Anderlecht,3.0
9,John Hewitt,Aberdeen,3.0
9,Dieter Hoeneß,Bayern Munich,3.0
9,Juary,Porto,3.0
9,Mats Magnusson,Servette,3.0
9,Reinhold Mathy,Bayern Munich,3.0
9,Michel Platini,Juventus,3.0
9,Roland Wohlfarth,Bayern Munich,3.0
9,Yuri Zheludkov,Zenit Leningrad,3.0
9,,,
