Rank,Player,Team(s),Points
Shortlist of top three,Shortlist of top three,Shortlist of top three,Shortlist of top three
1,Manuel Neuer[1],Bayern Munich,376
2,Jan Oblak,Atlético Madrid,92
3,Keylor Navas,Paris Saint-Germain,89
Players ranked 4–10,Players ranked 4–10,Players ranked 4–10,Players ranked 4–10
4,Anthony Lopes,Lyon,46
5,Alisson,Liverpool,28
6,Thibaut Courtois,Real Madrid,18
6,Marc-André ter Stegen,Barcelona,18
8,Péter Gulácsi,RB Leipzig,15
9,Wojciech Szczęsny,Juventus,10
10,Ederson,Manchester City,8
