Rank[68],Player,Team,Assists,Minutes played
1,Juan Cuadrado,Juventus,6,551
2,Joshua Kimmich,Bayern Munich,4,617
2,Kevin De Bruyne,Manchester City,4,669
2,Ángel Di María,Paris Saint-Germain,4,697
5,Jadon Sancho,Borussia Dortmund,3,386
5,Alassane Pléa,Borussia Mönchengladbach,3,540
5,Dušan Tadić,Ajax,3,540
5,Kingsley Coman,Bayern Munich,3,549
5,Angeliño,RB Leipzig,3,627
5,Thomas Müller,Bayern Munich,3,632
5,Neymar,Paris Saint-Germain,3,746
5,Kai Havertz,Chelsea,3,788
5,Kylian Mbappé,Paris Saint-Germain,3,900
5,Luka Modrić,Real Madrid,3,911
5,Phil Foden,Manchester City,3,1066
