0,1
Allianz Arena in Munich hosted the final,Allianz Arena in Munich hosted the final
Tournament details,Tournament details
Dates,Qualifying: 9 July – 28 August 2024 Competition proper: 17 September 2024 – 31 May 2025
Teams,Competition proper: 36 Total: 81 (from 53 associations)
Final positions,Final positions
Champions,Paris Saint-Germain (1st title)
Runners-up,Inter Milan
Tournament statistics,Tournament statistics
Matches played,189
Goals scored,618 (3.27 per match)
Attendance,"8,373,025 (44,302 per match)"
Top scorer(s),Serhou Guirassy (Borussia Dortmund) Raphinha (Barcelona) 13 goals each
Best player,Ousmane Dembélé (Paris Saint-Germain)[1]
Best young player,Désiré Doué (Paris Saint-Germain)[2]
← 2023–24 2025–26 →,← 2023–24 2025–26 →
