Home team,Score,Away team
Red Bull Salzburg,0–4,Brest
VfB Stuttgart,1–1,Sparta Prague
Arsenal,2–0,Paris Saint-Germain
Bayer Leverkusen,1–0,Milan
Borussia Dortmund,7–1,Celtic
Barcelona,5–0,Young Boys
Inter Milan,4–0,Red Star Belgrade
PSV Eindhoven,1–1,Sporting CP
Slovan Bratislava,0–4,Manchester City
Shakhtar Donetsk,0–3,Atalanta
Girona,2–3,Feyenoord
Aston Villa,1–0,Bayern Munich
Dinamo Zagreb,2–2,Monaco
Liverpool,2–0,Bologna
Lille,1–0,Real Madrid
RB Leipzig,2–3,Juventus
Sturm Graz,0–1,Club Brugge
Benfica,4–0,Atlético Madrid
