Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification
1,Liverpool,8,7,0,1,17,5,+12,21,Advance to round of 16 (seeded)
2,Barcelona,8,6,1,1,28,13,+15,19,Advance to round of 16 (seeded)
3,Arsenal,8,6,1,1,16,3,+13,19,Advance to round of 16 (seeded)
4,Inter Milan,8,6,1,1,11,1,+10,19,Advance to round of 16 (seeded)
5,Atlético Madrid,8,6,0,2,20,12,+8,18,Advance to round of 16 (seeded)
6,Bayer Leverkusen,8,5,1,2,15,7,+8,16,Advance to round of 16 (seeded)
7,Lille,8,5,1,2,17,10,+7,16,Advance to round of 16 (seeded)
8,Aston Villa,8,5,1,2,13,6,+7,16,Advance to round of 16 (seeded)
9,Atalanta,8,4,3,1,20,6,+14,15,Advance to knockout phase play-offs (seeded)
10,Borussia Dortmund,8,5,0,3,22,12,+10,15,Advance to knockout phase play-offs (seeded)
11,Real Madrid,8,5,0,3,20,12,+8,15[a],Advance to knockout phase play-offs (seeded)
12,Bayern Munich,8,5,0,3,20,12,+8,15[a],Advance to knockout phase play-offs (seeded)
13,Milan,8,5,0,3,14,11,+3,15,Advance to knockout phase play-offs (seeded)
14,PSV Eindhoven,8,4,2,2,16,12,+4,14,Advance to knockout phase play-offs (seeded)
15,Paris Saint-Germain,8,4,1,3,14,9,+5,13,Advance to knockout phase play-offs (seeded)
16,Benfica,8,4,1,3,16,12,+4,13,Advance to knockout phase play-offs (seeded)
17,Monaco,8,4,1,3,13,13,0,13,Advance to knockout phase play-offs (unseeded)
18,Brest,8,4,1,3,10,11,−1,13,Advance to knockout phase play-offs (unseeded)
19,Feyenoord,8,4,1,3,18,21,−3,13,Advance to knockout phase play-offs (unseeded)
20,Juventus,8,3,3,2,9,7,+2,12,Advance to knockout phase play-offs (unseeded)
21,Celtic,8,3,3,2,13,14,−1,12,Advance to knockout phase play-offs (unseeded)
22,Manchester City,8,3,2,3,18,14,+4,11,Advance to knockout phase play-offs (unseeded)
23,Sporting CP,8,3,2,3,13,12,+1,11,Advance to knockout phase play-offs (unseeded)
24,Club Brugge,8,3,2,3,7,11,−4,11,Advance to knockout phase play-offs (unseeded)
25,Dinamo Zagreb,8,3,2,3,12,19,−7,11,
26,VfB Stuttgart,8,3,1,4,13,17,−4,10,
27,Shakhtar Donetsk,8,2,1,5,8,16,−8,7,
28,Bologna,8,1,3,4,4,9,−5,6,
29,Red Star Belgrade,8,2,0,6,13,22,−9,6,
30,Sturm Graz,8,2,0,6,5,14,−9,6,
31,Sparta Prague,8,1,1,6,7,21,−14,4,
32,RB Leipzig,8,1,0,7,8,15,−7,3,
33,Girona,8,1,0,7,5,13,−8,3,
34,Red Bull Salzburg,8,1,0,7,5,27,−22,3,
35,Slovan Bratislava,8,0,0,8,7,27,−20,0,
36,Young Boys,8,0,0,8,3,24,−21,0,
